Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,,,,,5,Hidden,,Nepal,28.09136628,84.34204102,,,,
IAD to CPH to FAE,,,,"<p align:""center"">8/14/2021- 8/15/2021</p>
Flight from IAD to CPH (7.5hrs)
<br>
3 hr layover
<br>
Flight from CPH to FAE (2 hrs)",11,Hidden,,Flight,27.70009601,85.35913467,,,,color:black;weight:5
,/img/ebc/lighthousePoint.jpg,,,,11,Hidden,,Flight,27.70009601,85.35913467,,,,
,/img/ebc/LandRover.jpeg,,,,14,Hidden,,,,,,,,color:black;weight:3
,/img/ebc/clareBoat.jpg,,,,,,,,,,,,,
,/img/ebc/LandRover.jpeg,,,,,,,,,,,,,
,/img/ebc/lighthousePoint.jpg,,,,,,,,,,,,,
,/img/ebc/Koks.jpeg,,,,16,,,,,,,,,
,/img/ebc/helicopter.jpg,,,,13,,,,,,,,,color:black;weight:3
,https://www.youtube.com/embed/tL4Q5zirXag,,,,13,,,,,,,,,color:black;weight:3
Chapter,/img/ebc/clareBoat.jpg,Boat Ride!,media credit,Description,16,,,,,,,,,
