Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
The Faroe Islands,https://upload.wikimedia.org/wikipedia/commons/b/bb/Faroe_Islands_by_Sentinel-2.jpg,"Copernicus Sentinel-2, ESA",https://scihub.copernicus.eu/dhus/#/home,The Faroe Islands Description,9,Plain,green-dark,Faroe Islands,61.8926,-6.9118,,,,
Arrival,,,,"8/14/2021- 8/15/2021 
Flight from IAD to CPH (7.5hrs)
3 hr layover
Flight from CPH to FAE (2 hrs)
Arrived, checked into AirBNB & ""gas station"" lunch at Saksun",4,,,Flight,48.719961,-36.185918,,,,
Arrival,,,,Vágar Airport,13,Plain,green-dark,Vágar Airport,62.063611,-7.277222,,,,
Lunch in Saksun,/img/LunchSaksun.jpg,,,Lunch in Saksun,18,Plain,green-dark,Saksun,62.241611,-7.160276,,,,
Hike in Rjornuvik,/img/1.png,,,Tuesday 8/16/2021,17,Plain,green-dark,Tjørnuvík,62.289395,-7.150049,,,,
,/img/2.png,,,,,,,,,,,,,
,,,,Wednesday ,,,,,,,,,,
,,,,"<div>
<div class=""row""> 
 <div class=""column""> 
  <img src=""https://dalbinator.github.io/img/1.png"" style=""width:100%""> 
 </div> 
 <div class=""column""> 
  <img src=""https://dalbinator.github.io/img/2.png"" style=""width:100%""> 
 </div> 
</div>
</div>",,,,,,,,,,
,,,,Friday 8/20/2021,,,,,,,,,,
,,,,Saturday 8/21/2021,,,,,,,,,,
,,,,Sunday 8/22/2021,,,,,,,,,,
,,,,Monday 8/23/2021,,,,,,,,,,
,,,,Tuesday 8/24/2021,,,,,,,,,,
,,,,Wednesday 8/25/201,,,,,,,,,,
