Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
"<div class=""box-1learn"">
A collaboration of Westbank First Nation (WFN) Archaeology and The University of British Columbia Okanagan
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>",,,,1.WFN Archaeology is part of the WFN’s Intergovernmental Affairs/Title and Rights department and contributes to the WFN’s and the “community’s understanding of the long term existence of First Nation people in the Okanagan Valley” (WFN 2021).                 ,10,Numbered,orange,Westbank First Nation,49.837729,-119.596591,,,,
"<div class=""box-1learn"">
Digitized WFN Elders Map
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",https://www.youtube.com/embed/pE5AM9oQArg,,,,10,Hidden,blue,Westbank First Nation,49.83205637,-119.6283219,,,,
"<div class=""box-1learn"">
k̓aʔk̓ł cn̓t̓iʔiʔk̓ək̓ʔqptn
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",media/Aug-zone2.PNG,"Source: David Ball/Wikimedia, CC BY-SA- Photo: Google earth",,"2. The Place of Flooding | At the confluence point between Mission Creek (River) and Okanagan Lake shore just to the south of Kelowna is an area that flooded every year and this area was one of the larger wet land areas along the Okanagan lake shore. This meant that it was a refuge area for all kinds of water fowl that nested along the shore line and out on the lake reeds. The hill side adjacent to this area was teeming with ground hogs, rabbits, game birds and bigger game. The village site just to the east of this area and bit further up the hill side was a community that looked after and maintained connection to other people in areas regarding the weather information and predictions which great knowledge keepers used as a method of land management. The lake current made getting back and forth across the lake easy traveling. This point and up the lake on the Westside at ""The Cove"" was a staging areas for north and north west travels the area back across. On the eastern benches was also a staging area for travelers going East to the High Lakes District or ""The Arrow Lakes"". The people also used this area as a point to get ready for their travels the three major huckle berry areas like Silver Star mountains, Monashee slopes and high benches also up and over to the Granite Mountain areas.",15,Numbered,orange,The Place of Flooding,49.842848,-119.494221,,,,
"<div class=""box-1learn"">
          k̓aʔk̓ł nx̌ʷaʔq̓ʷaʔstn / snc̓əʔq̓əyitn
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>",media/Aug zone3 Photo by Ono Kosuki from Pexels.png,Source: Pexels Photo by Ono Kosuki,,"3.Black Knight Mountain | The people of the West Bank community were the care takers for a very important resource for many because of the way that this resource impacted all of the people's collective daily lives. It helped them live comfortably even in the extremist of conditions. It defended the people from starvation. It kept the people from freezing. It helped the people proactively keep themselves safe from harm of any kind be it from the powerhouse animals of the land or other people who would want to bring harm against them or others. This valuable item was to  become known as the ""Flint Rock"". It could start a fire, it helped the people cook raw foods, used properly it could start a fire in the wind and snow or in the rain. It was made into knives, arrow heads, chopping tools, canoe carving blades and or axes. The versatility of this item was second to none. The extreme versatility of this item was even tested by scientists. A scalpel was fastened by a doctor to pit its edge against that of a highly tempered scalpel blade, not only did the flint cut more superior against the metal one it even out lasted the weaker metal one.",16,Numbered,orange,Black Knight Mountain,49.87965254,-119.3074391,,,,https://github.com/wfndigitalheritage/storymap/tree/main/geojson
"<div class=""box-1learn"">
sq̓ʷaʔaʕ
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>",media/Aug-zone4-Photo by James Wheeler from Pexels.png,Source: Pexels Photo by James Wheeler,https://www.nps.gov/nama/learn/photosmultimedia/photogallery.htm,"4. Antler Beach | Before there were any non native people living in the area which has since become known as ""West Kelowna"" it  was known in the Okanagan Language as the ""Windy Ridges Marsh Lands"" or West Bank. The people who lived along the shores off of the Okanagan Lake at West Bank, these people and a neighboring southern community had the collective responsibility for looking after the Antler Beach area as it was one of the most important fisheries for the delicious red and green land locked salmon known as ""Kokanee"". This fresh water resource was one of the staple dietary needs for the peoples of the area. So their collective duties was to maintain the information for things like full count return cycles, low count return cycles, spawning beds in that area that needed adequate shade for proper spawning temperature in the water, even making sure that the spawned salmon was put on shore for the other animals to consume. For all time this management system continued generation after generation ensuring that never at anytime in the people's future will this resource and/ or area suffer. For, should it suffer in any way then so shall the people suffer.",16,Numbered,orange,Antler Beach,49.73939,-119.764802,,,,
"<div class=""box-1learn"">
k̓aʔk̓ł  x̌ʷałmnik
</div>
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",media/Aug-zone 5 photo by Brett Sayles from Pexels.png,"Source: Anthony Citrano/Flickr, Creative Commons BY-NC-ND  photo by Brett Sayles from Pexels",https://flic.kr/p/eTnWuh,"5. The Place of Lots of Poop | Many years before the arrival of the səmaʔ (Caucasians) there were many Pronghorn Antelopes living along the area from Bear Creek turn off of Westside road to the Rocky hill sides south of the ""Cove"". From the western Lake Shore and to the west both sides of the ridges were where these unique ungulates ranged. The Okanagan term ""Lots-a-Poop"" was because of the piles of droppings that the male or ""The Buck"" of this species made and the height of these were quite impressive. The stallion or ""Stud"" horse does much the same thing. This necessary bodily function which was a way of marking the land by the males helped with maintaining domination over areas securing prime breeding areas and birthing zones. The wild life management methods that were committed to by the people and thorough this maintenance method the people kept these animals from extinction.",16,Numbered,orange,The Place of Lots of Poop,49.94609884,-119.5751402,,,,
"<div class=""box-1learn"">
krəmstəwixʷtn
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",media/Aug-zone6-8.PNG,Source: Google Earth,https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,Add description here,15,Numbered,blue,Add name here,49.88712,-119.567,,,geojson/6.geojson,geojson/6.geojson
"<div class=""box-1learn"">
łəłq̓ʷut kiʔlawna
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>

",media/Aug-zone7-Photo by Janko Ferlic from Pexels.png,Source: Pexels Photo by Janko Ferlic from Pexels,https://www.npr.org/2010/01/18/122701268/i-have-a-dream-speech-in-its-entirety,Add description here,15,Numbered,blue,Add name here,49.85202,-119.588,,,geojson/7.geojson,geojson/7.geojson
"<div class=""box-1learn"">
aʔc̓łu c̓us
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",media/Aug-zone8-1.PNG,,https://youtu.be/Q-082gadmDw,Add description here,15,Numbered,blue,Add name here,50.081304,-119.381389,,,8.geojson,8.geojson
"<div class=""box-1learn"">
k̓aʔk̓ł snc̓əʔq̓aylitn 
</div>
<style>
    .box-1learn{
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: #007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
    }
</style>
<style>
    .box-1learn{
        direction:rtl;
        background: ##007bba;
        color: #000000;
        font-family:""b yekan"",tahoma;
        font-size:21px;
        font-weight:bold;
        padding: 20px;
        margin: 10px;
        border: 2px dashed #fff;
        border-radius: 10px;
        line-height: 30px;
        box-shadow: 0 0 0 4px #0883c2, 2px 1px 6px 4px rgba(10, 10, 0, 0.5);
    }
</style>
",media/gettyimages-1.png,Source:getty image,,Add description here,15,Numbered,blue,Add name here,49.92579,-119.222,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,,
