Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,/faroe-islands/img/flag.png,,,,7,Hidden,,Faroe Islands,61.8926,-6.9118,,,,
IAD to CPH to FAE,,,,"<p align:""center"">8/14/2021- 8/15/2021</p>
Flight from IAD to CPH (7.5hrs)
<br>
3 hr layover
<br>
Flight from CPH to FAE (2 hrs)",2,Hidden,,Flight,48.719961,-36.185918,,,geojson/dtoc.geojson,color:black;weight:5
DAY 1 - ARRIVAL,,,,"<p align:""center"">Vágar Airport to Kollafjørður to Saksun</P>",11,Hidden,,Vágar Airport,62.16037174,-7.109527588,,,geojson/arrival.geojson,color:black;weight:3
Lunch in Saksun,/faroe-islands/img/LunchSaksun.jpg,,,Lunch in Saksun,15,Hidden,green-dark,Saksun,62.241611,-7.160276,,,,
"DAY 2 - HIKE FROM TJØRNUVIK
<p>This was a really good hike as an introduction to the Faroe Islands. It has a very steep start from Tjørnuvik but because of the quick ascent you get a beautiful view of the town and it's beach. blah blah blah</p>",/faroe-islands/img/1.png,,,,13,Hidden,green-dark,Tjørnuvík,62.27439226,-7.183170319,,,geojson/tjornuvik.geojson,color:black;weight:3
,/faroe-islands/img/2.png,,,,13,Plain,green-dark,,62.2847727,-7.160425186,,,geojson/tjornuvik.geojson,color:black;weight:3
,/faroe-islands/img/3.png,,,,13,Plain,green-dark,,62.25866505,-7.18583107,,,geojson/tjornuvik.geojson,color:black;weight:3
,/faroe-islands/img/4.png,,,,13,Plain,green-dark,,62.25987359,-7.185938358,,,geojson/tjornuvik.geojson,color:black;weight:3
,/faroe-islands/img/5.png,,,,13,Plain,green-dark,,62.27662835,-7.179136276,,,geojson/tjornuvik.geojson,color:black;weight:3
"DAY 3 - TUESDAY
<p>Middagsfjall</p>",/faroe-islands/img/Faroe Islands 2021 - 1 of 1 (2).png,,,8/17/2021,,,,,62.309722,-6.652316,,,,
,/faroe-islands/image/puffin.jpg,Puffin,,,,,,,,,,,,
DAY 4 - WEDNESDAY KALLUR LIGHTHOUSE,,,,8/18/2021,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DAY 5 - THURSDAY
<br>OLD POSTAL ROUTE TO GÁSADALUR",/faroe-islands/img/gasadalur2.png,The Iconic Waterfall of Gásadalur,,Thursday 8/19/2021,14,Hidden,,,62.09753696,-7.410793304,,,geojson/gasadalur.geojson,color:black;weight:3
,/faroe-islands/img/traffic.jpeg,,,,,,,,,,,,,
KOKS,/faroe-islands/img/LandRover.jpeg,,,,,,,,,,,,,
,/faroe-islands/img/Koks.jpeg,,,,,,,,,,,,,
"DAY 6 - FRIDAY
THE JOURNEY TO FUGLOY",,,,Friday 8/20/2021,13,,,,62.28038141,-6.405715942,,,geojson/fugloy.geojson,color:black;weight:3
,https://www.youtube.com/embed/tL4Q5zirXag,The Flight from Klaksvík to Kirkja,https://youtu.be/tL4Q5zirXag,,13,,,,62.28038141,-6.405715942,,,geojson/fugloy.geojson,color:black;weight:3
,,,,,,,,,,,,,,
,/faroe-islands/img/Clare on Ferry.png,Clare enjoying the calm waters after the rough open ocean.,,,,,,,,,,,,
DAY 7 - SATURDAY,/faroe-islands/img/Summit.jpeg,,,"Saturday 8/21/2021
Slættaratindur",,,,,,,,,,
DAY 8 - SUNDAY,,,,Sunday 8/22/2021,,,,,,,,,,
DAY 9 - MONDAY,/faroe-islands/img/DomeHome.jpeg,,,"Monday 8/23/2021
Final Day - ",,,,,,,,,,
DAY 10 - TUESDAY,/faroe-islands/img/nightBike.jpeg,,,"Tuesday 8/24/2021
Copenhagen",,,,,,,,,,
DAY 11 - WEDNESDAY ,,,,Wednesday 8/25/201,,,,,,,,,,
,,,,"<a href=''https://dalbinator.github.io/lofoten"">Lofoten</a>",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"
<div class=""row""> 
 <div class=""column""> 
  <img src="""" style=""width:100%""> 
 </div> 
 <div class=""column""> 
  <img src="""" style=""width:100%""> 
 </div> 
</div>",,,,,,,,,,
